序号,动作编码,当前名称,当前器械,当前一级分类,当前子分类,当前主动肌,当前主动肌region,当前协同肌,当前协同肌region,名称结论,分类结论,肌群结论,总评,建议名称,建议器械,建议一级分类,建议子分类,建议主动肌,建议主动肌region,建议协同肌,建议协同肌region,调整建议,事实依据摘要,证据ID,原备注
62,GOOD_MORNING,早安式,杠铃,背,,竖脊肌/下背,lowerBack,,,通过,通过,建议调整,建议调整,早安式,杠铃,背,,腘绳肌、竖脊肌/下背,hams|lowerBack,臀大肌,glutes,早安式是髋铰链，建议把腘绳肌纳入主动肌，臀大肌作协同。,硬拉/髋铰链/背伸类是后链复合动作，当前多处只保留竖脊肌或误列二头/后三角，需要补齐臀腿后链并移除不相关协同。,E7|P0,保留
63,DB_PULLOVER,哑铃仰卧上拉,哑铃,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,哑铃仰卧上拉,哑铃,背,,背阔肌,lats,胸大肌、肱三头肌,chest|triceps,仰卧上拉保留背阔主导，协同改为胸大肌/肱三头肌近似，移除二头/后三角。,仰卧上拉同时涉及背阔肌和胸大肌；当前把二头/后三角列为协同不够准确。,E8|P0,保留，线上有历史
64,SHRUG_BB,杠铃耸肩,杠铃,背,,斜方肌,traps,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,杠铃耸肩,杠铃,背,,斜方肌,traps,前臂,forearms,耸肩协同改为前臂/握力，移除二头和后三角。,耸肩主目标是斜方肌，协同更接近握力/前臂，不是二头或后三角。,E9|P0,保留
65,SHRUG_DB,哑铃耸肩,哑铃,背,,斜方肌,traps,肱二头肌、三角肌后束,biceps|deltRear,通过,通过,建议调整,建议调整,哑铃耸肩,哑铃,背,,斜方肌,traps,前臂,forearms,耸肩协同改为前臂/握力，移除二头和后三角。,耸肩主目标是斜方肌，协同更接近握力/前臂，不是二头或后三角。,E9|P0,保留
66,OHP,站姿杠铃推举,杠铃,肩,前束,三角肌前束,deltFront,肱三头肌,triceps,通过,通过,建议调整,建议调整,站姿杠铃推举,杠铃,肩,前束,三角肌前束,deltFront,肱三头肌、三角肌中束,triceps|deltSide,补三角肌中束协同，保留三头。,肩推类以前束/中束三角肌和三头为主要参与肌群；建议补充中束协同。,E10|P0,必留
67,SEATED_BB_PRESS,坐姿杠铃推举,杠铃,肩,前束,三角肌前束,deltFront,肱三头肌,triceps,通过,通过,建议调整,建议调整,坐姿杠铃推举,杠铃,肩,前束,三角肌前束,deltFront,肱三头肌、三角肌中束,triceps|deltSide,补三角肌中束协同，保留三头。,肩推类以前束/中束三角肌和三头为主要参与肌群；建议补充中束协同。,E10|P0,保留
68,DB_OVERHEAD_PRESS,哑铃推肩,哑铃,肩,前束,三角肌前束,deltFront,肱三头肌,triceps,通过,通过,建议调整,建议调整,哑铃推肩,哑铃,肩,前束,三角肌前束,deltFront,肱三头肌、三角肌中束,triceps|deltSide,补三角肌中束协同，保留三头。,肩推类以前束/中束三角肌和三头为主要参与肌群；建议补充中束协同。,E10|P0,必留，线上高频
69,ARNOLD_PRESS,阿诺德推举,哑铃,肩,前束,三角肌前束,deltFront,肱三头肌,triceps,通过,通过,建议调整,建议调整,阿诺德推举,哑铃,肩,前束,三角肌前束,deltFront,肱三头肌、三角肌中束,triceps|deltSide,补三角肌中束协同，保留三头。,肩推类以前束/中束三角肌和三头为主要参与肌群；建议补充中束协同。,E10|P0,保留
70,MACHINE_SHOULDER_PRESS,器械肩推,器械,肩,前束,三角肌前束,deltFront,肱三头肌,triceps,通过,通过,建议调整,建议调整,器械肩推,器械,肩,前束,三角肌前束,deltFront,肱三头肌、三角肌中束,triceps|deltSide,补三角肌中束协同，保留三头。,肩推类以前束/中束三角肌和三头为主要参与肌群；建议补充中束协同。,E10|P0,必留，线上有历史
71,SMITH_SHOULDER_PRESS,史密斯肩推,史密斯,肩,前束,三角肌前束,deltFront,肱三头肌,triceps,通过,通过,建议调整,建议调整,史密斯肩推,史密斯,肩,前束,三角肌前束,deltFront,肱三头肌、三角肌中束,triceps|deltSide,补三角肌中束协同，保留三头。,肩推类以前束/中束三角肌和三头为主要参与肌群；建议补充中束协同。,E10|P0,必留，线上有历史
72,HAMMER_SEATED_PRESS,悍马机坐姿推举,悍马机,肩,前束,三角肌前束,deltFront,肱三头肌,triceps,通过,通过,建议调整,建议调整,悍马机坐姿推举,悍马机,肩,前束,三角肌前束,deltFront,肱三头肌、三角肌中束,triceps|deltSide,补三角肌中束协同，保留三头。,肩推类以前束/中束三角肌和三头为主要参与肌群；建议补充中束协同。,E10|P0,必留，线上有历史
73,LATERAL_RAISE,哑铃侧平举,哑铃,肩,中束,三角肌中束,deltSide,,,通过,通过,通过,通过,哑铃侧平举,哑铃,肩,中束,三角肌中束,deltSide,,,保留当前名称、分类和肌群。,侧平举归三角肌中束准确。,E11|P0,必留，线上高频
74,CABLE_LATERAL_RAISE,绳索侧平举,绳索,肩,中束,三角肌中束,deltSide,,,通过,通过,通过,通过,绳索侧平举,绳索,肩,中束,三角肌中束,deltSide,,,保留当前名称、分类和肌群。,侧平举归三角肌中束准确。,E11|P0,必留，线上有历史
75,SINGLE_ARM_CABLE_LATERAL_RAISE,单臂绳索侧平举,绳索,肩,中束,三角肌中束,deltSide,,,通过,通过,通过,通过,单臂绳索侧平举,绳索,肩,中束,三角肌中束,deltSide,,,保留当前名称、分类和肌群。,侧平举归三角肌中束准确。,E11|P0,保留，线上有历史
76,MACHINE_LATERAL_RAISE,器械侧平举,器械,肩,中束,三角肌中束,deltSide,,,通过,通过,通过,通过,器械侧平举,器械,肩,中束,三角肌中束,deltSide,,,保留当前名称、分类和肌群。,侧平举归三角肌中束准确。,E11|P0,保留
77,HAMMER_LATERAL_RAISE,悍马机侧平举,悍马机,肩,中束,三角肌中束,deltSide,,,通过,通过,通过,通过,悍马机侧平举,悍马机,肩,中束,三角肌中束,deltSide,,,保留当前名称、分类和肌群。,侧平举归三角肌中束准确。,E11|P0,保留，线上有历史
78,FRONT_RAISE,哑铃前平举,哑铃,肩,前束,三角肌前束,deltFront,,,通过,通过,通过,通过,哑铃前平举,哑铃,肩,前束,三角肌前束,deltFront,,,保留当前名称、分类和肌群。,前平举归三角肌前束准确。,E11|P0,保留
79,BB_PLATE_FRONT_RAISE,杠铃片前平举,杠铃,肩,前束,三角肌前束,deltFront,,,通过,通过,通过,通过,杠铃片前平举,杠铃,肩,前束,三角肌前束,deltFront,,,保留当前名称、分类和肌群。,前平举归三角肌前束准确。,E11|P0,保留，线上有历史
80,CABLE_FRONT_RAISE,绳索前平举,绳索,肩,前束,三角肌前束,deltFront,,,通过,通过,通过,通过,绳索前平举,绳索,肩,前束,三角肌前束,deltFront,,,保留当前名称、分类和肌群。,前平举归三角肌前束准确。,E11|P0,保留
81,REAR_DELT_FLY,俯身飞鸟,哑铃,肩,后束,三角肌后束,deltRear,,,通过,通过,建议调整,建议调整,俯身飞鸟,哑铃,肩,后束,三角肌后束,deltRear,斜方肌、菱形肌/中背,traps|rhomboids,后束动作补斜方肌/菱形肌作为肩胛稳定协同。,后束飞鸟/面拉归三角肌后束准确，但肩胛稳定肌可作为协同补充。,E12|P0,必留，线上有历史
82,MACHINE_REVERSE_FLY,蝴蝶机反向飞鸟,器械,肩,后束,三角肌后束,deltRear,,,通过,通过,建议调整,建议调整,蝴蝶机反向飞鸟,器械,肩,后束,三角肌后束,deltRear,斜方肌、菱形肌/中背,traps|rhomboids,后束动作补斜方肌/菱形肌作为肩胛稳定协同。,后束飞鸟/面拉归三角肌后束准确，但肩胛稳定肌可作为协同补充。,E12|P0,必留，线上高频
83,FACE_PULL,绳索面拉,绳索,肩,后束,三角肌后束,deltRear,,,通过,通过,建议调整,建议调整,绳索面拉,绳索,肩,后束,三角肌后束,deltRear,斜方肌、菱形肌/中背、三角肌中束,traps|rhomboids|deltSide,面拉除后三角外，还应体现斜方/菱形和中束稳定。,后束飞鸟/面拉归三角肌后束准确，但肩胛稳定肌可作为协同补充。,E12|P0,必留，线上高频
84,CABLE_CROSS_REAR_FLY,绳索交叉后束飞鸟,绳索,肩,后束,三角肌后束,deltRear,,,通过,通过,建议调整,建议调整,绳索交叉后束飞鸟,绳索,肩,后束,三角肌后束,deltRear,斜方肌、菱形肌/中背,traps|rhomboids,后束动作补斜方肌/菱形肌作为肩胛稳定协同。,后束飞鸟/面拉归三角肌后束准确，但肩胛稳定肌可作为协同补充。,E12|P0,保留，线上有历史
85,PREACHER_BENCH_REAR_DELT_FLY,牧师凳俯身飞鸟,哑铃,肩,后束,三角肌后束,deltRear,,,通过,通过,建议调整,建议调整,牧师凳俯身飞鸟,哑铃,肩,后束,三角肌后束,deltRear,斜方肌、菱形肌/中背,traps|rhomboids,后束动作补斜方肌/菱形肌作为肩胛稳定协同。,后束飞鸟/面拉归三角肌后束准确，但肩胛稳定肌可作为协同补充。,E12|P0,保留，线上自定义有历史
86,UPRIGHT_ROW,杠铃直立划船,杠铃,肩,中束,三角肌中束,deltSide,,,通过,通过,建议调整,建议调整,杠铃直立划船,杠铃,肩,中束,三角肌中束、斜方肌,deltSide|traps,肱二头肌、前臂,biceps|forearms,直立划船补斜方肌主动和二头/前臂协同。,直立划船/高拉主要覆盖三角肌中束和斜方肌；高拉还带爆发动作属性。,E13|P0,保留，线上有历史
87,DB_UPRIGHT_ROW,哑铃直立划船,哑铃,肩,中束,三角肌中束,deltSide,,,通过,通过,建议调整,建议调整,哑铃直立划船,哑铃,肩,中束,三角肌中束、斜方肌,deltSide|traps,肱二头肌、前臂,biceps|forearms,哑铃直立划船补斜方肌主动和二头/前臂协同。,直立划船/高拉主要覆盖三角肌中束和斜方肌；高拉还带爆发动作属性。,E13|P0,保留，覆盖“站姿哑铃划船”
88,BB_HIGH_PULL,杠铃提拉,杠铃,肩,,三角肌中束、斜方肌,deltSide|traps,,,建议改名,建议调整,建议调整,建议调整,杠铃高拉,杠铃,功能性,爆发奥举,斜方肌、三角肌中束、臀大肌、腘绳肌,traps|deltSide|glutes|hams,竖脊肌/下背、前臂,lowerBack|forearms,名称改为更通用的“杠铃高拉”，并从肩改归功能性/爆发奥举；高拉是爆发提拉，不宜只当侧束动作。,直立划船/高拉主要覆盖三角肌中束和斜方肌；高拉还带爆发动作属性。,E13|P0,保留，线上有历史
89,BB_CURL,杠铃弯举,杠铃,手臂,,肱二头肌,biceps,,,通过,通过,通过,通过,杠铃弯举,杠铃,手臂,,肱二头肌,biceps,,,保留当前名称、分类和肌群。,常规弯举归肱二头肌准确。,E14|P0,必留
90,EZ_BAR_CURL,EZ 杠弯举,杠铃,手臂,,肱二头肌,biceps,,,通过,通过,通过,通过,EZ 杠弯举,杠铃,手臂,,肱二头肌,biceps,,,保留当前名称、分类和肌群。,常规弯举归肱二头肌准确。,E14|P0,必留，线上有历史
91,DB_CURL,哑铃弯举,哑铃,手臂,,肱二头肌,biceps,,,通过,通过,通过,通过,哑铃弯举,哑铃,手臂,,肱二头肌,biceps,,,保留当前名称、分类和肌群。,常规弯举归肱二头肌准确。,E14|P0,必留
92,DB_ALTERNATING_CURL,哑铃交替弯举,哑铃,手臂,,肱二头肌,biceps,,,通过,通过,通过,通过,哑铃交替弯举,哑铃,手臂,,肱二头肌,biceps,,,保留当前名称、分类和肌群。,常规弯举归肱二头肌准确。,E14|P0,保留，覆盖哑铃轮换弯举
93,HAMMER_CURL,锤式弯举,哑铃,手臂,,肱二头肌,biceps,,,通过,通过,建议调整,建议调整,锤式弯举,哑铃,手臂,,肱二头肌,biceps,前臂,forearms,锤式弯举补前臂/肱桡肌参与；App 以 forearms 近似。,锤式/反握弯举需要体现前臂/肱桡肌参与；App 可用前臂 region 近似。,E14|P0,必留
94,DB_CROSS_HAMMER_CURL,交叉锤式弯举,哑铃,手臂,,肱二头肌,biceps,,,通过,通过,建议调整,建议调整,交叉锤式弯举,哑铃,手臂,,肱二头肌,biceps,前臂,forearms,锤式弯举补前臂/肱桡肌参与；App 以 forearms 近似。,锤式/反握弯举需要体现前臂/肱桡肌参与；App 可用前臂 region 近似。,E14|P0,保留，线上有历史
95,INCLINE_DB_CURL,上斜哑铃弯举,哑铃,手臂,,肱二头肌,biceps,,,通过,通过,通过,通过,上斜哑铃弯举,哑铃,手臂,,肱二头肌,biceps,,,保留当前名称、分类和肌群。,常规弯举归肱二头肌准确。,E14|P0,保留
96,CONCENTRATION_CURL,集中弯举,哑铃,手臂,,肱二头肌,biceps,,,通过,通过,通过,通过,集中弯举,哑铃,手臂,,肱二头肌,biceps,,,保留当前名称、分类和肌群。,常规弯举归肱二头肌准确。,E14|P0,保留
97,SPIDER_CURL,蜘蛛弯举,哑铃,手臂,,肱二头肌,biceps,,,通过,通过,通过,通过,蜘蛛弯举,哑铃,手臂,,肱二头肌,biceps,,,保留当前名称、分类和肌群。,常规弯举归肱二头肌准确。,E14|P0,保留
98,PREACHER_CURL,牧师凳弯举,器械,手臂,,肱二头肌,biceps,,,基本准确,通过,通过,建议调整,牧师凳弯举,杠铃,手臂,,肱二头肌,biceps,,,名称未写“器械”，当前 equipmentType=器械容易误导；建议改为杠铃，或把名称改成“器械牧师凳弯举”。,常规弯举归肱二头肌准确。,E14|P0,必留，线上有历史
99,SINGLE_ARM_PREACHER_CURL,单臂牧师凳弯举,哑铃,手臂,,肱二头肌,biceps,,,通过,通过,通过,通过,单臂牧师凳弯举,哑铃,手臂,,肱二头肌,biceps,,,保留当前名称、分类和肌群。,常规弯举归肱二头肌准确。,E14|P0,保留，覆盖线上自定义
100,CABLE_CURL,绳索弯举,绳索,手臂,,肱二头肌,biceps,,,通过,通过,通过,通过,绳索弯举,绳索,手臂,,肱二头肌,biceps,,,保留当前名称、分类和肌群。,常规弯举归肱二头肌准确。,E14|P0,必留，线上有历史
101,BB_STRAIGHT_BAR_CURL,直杆绳索弯举,绳索,手臂,,肱二头肌,biceps,,,通过,通过,通过,通过,直杆绳索弯举,绳索,手臂,,肱二头肌,biceps,,,保留当前名称、分类和肌群。,常规弯举归肱二头肌准确。,E14|P0,独立保留，线上有历史
102,CABLE_SEATED_BAR_CURL,坐姿绳索拉杆二头弯举,绳索,手臂,,肱二头肌,biceps,,,通过,通过,通过,通过,坐姿绳索拉杆二头弯举,绳索,手臂,,肱二头肌,biceps,,,保留当前名称、分类和肌群。,常规弯举归肱二头肌准确。,E14|P0,独立保留，线上自定义有历史
103,MACHINE_CURL,器械弯举,器械,手臂,,肱二头肌,biceps,,,通过,通过,通过,通过,器械弯举,器械,手臂,,肱二头肌,biceps,,,保留当前名称、分类和肌群。,常规弯举归肱二头肌准确。,E14|P0,保留
104,REVERSE_CURL,反握弯举,杠铃,手臂,,肱二头肌、前臂,biceps|forearms,,,通过,通过,建议调整,建议调整,反握弯举,杠铃,手臂,,前臂、肱二头肌,forearms|biceps,,,反握弯举建议以前臂/肱桡肌优先，肱二头肌次之；当前双主动可保留但顺序建议调整。,锤式/反握弯举需要体现前臂/肱桡肌参与；App 可用前臂 region 近似。,E14|P0,保留
105,TRICEP_PUSHDOWN,绳索下压,绳索,手臂,,肱三头肌,triceps,,,通过,通过,通过,通过,绳索下压,绳索,手臂,,肱三头肌,triceps,,,保留当前名称、分类和肌群。,孤立三头伸展/下压归肱三头肌准确。,E15|P0,必留
106,ROPE_PUSHDOWN,绳柄下压,绳索,手臂,,肱三头肌,triceps,,,通过,通过,通过,通过,绳柄下压,绳索,手臂,,肱三头肌,triceps,,,保留当前名称、分类和肌群。,孤立三头伸展/下压归肱三头肌准确。,E15|P0,必留
107,CABLE_V_BAR_PUSHDOWN,V-bar 绳索下压,绳索,手臂,,肱三头肌,triceps,,,通过,通过,通过,通过,V-bar 绳索下压,绳索,手臂,,肱三头肌,triceps,,,保留当前名称、分类和肌群。,孤立三头伸展/下压归肱三头肌准确。,E15|P0,保留，线上有历史
108,BB_STRAIGHT_BAR_PUSHDOWN,直杆绳索下压,绳索,手臂,,肱三头肌,triceps,,,通过,通过,通过,通过,直杆绳索下压,绳索,手臂,,肱三头肌,triceps,,,保留当前名称、分类和肌群。,孤立三头伸展/下压归肱三头肌准确。,E15|P0,保留，线上有历史
109,SINGLE_ARM_CABLE_PUSHDOWN,单臂绳索下压,绳索,手臂,,肱三头肌,triceps,,,通过,通过,通过,通过,单臂绳索下压,绳索,手臂,,肱三头肌,triceps,,,保留当前名称、分类和肌群。,孤立三头伸展/下压归肱三头肌准确。,E15|P0,保留，线上有历史
110,SKULL_CRUSHER,仰卧臂屈伸,杠铃,手臂,,肱三头肌,triceps,,,通过,通过,通过,通过,仰卧臂屈伸,杠铃,手臂,,肱三头肌,triceps,,,保留当前名称、分类和肌群。,孤立三头伸展/下压归肱三头肌准确。,E15|P0,必留，线上有历史
111,CLOSE_GRIP_BENCH,窄距卧推,杠铃,手臂,,肱三头肌,triceps,,,通过,通过,建议调整,建议调整,窄距卧推,杠铃,手臂,,肱三头肌,triceps,胸大肌、三角肌前束,chest|deltFront,复合三头推举/臂屈伸补胸大肌和三角肌前束协同。,窄距卧推和臂屈伸主攻三头，但胸和前三角明显参与；应补协同肌。,E15|E4|P0,必留，线上自定义有历史
112,CABLE_TRICEP_EXT,绳索臂屈伸,绳索,手臂,,肱三头肌,triceps,,,通过,通过,通过,通过,绳索臂屈伸,绳索,手臂,,肱三头肌,triceps,,,保留当前名称、分类和肌群。,孤立三头伸展/下压归肱三头肌准确。,E15|P0,必留，线上高频
113,OVERHEAD_TRICEP_EXT,哑铃过顶臂屈伸,哑铃,手臂,,肱三头肌,triceps,,,通过,通过,通过,通过,哑铃过顶臂屈伸,哑铃,手臂,,肱三头肌,triceps,,,保留当前名称、分类和肌群。,孤立三头伸展/下压归肱三头肌准确。,E15|P0,必留
114,CABLE_OVERHEAD_EXT,绳索过顶臂屈伸,绳索,手臂,,肱三头肌,triceps,,,通过,通过,通过,通过,绳索过顶臂屈伸,绳索,手臂,,肱三头肌,triceps,,,保留当前名称、分类和肌群。,孤立三头伸展/下压归肱三头肌准确。,E15|P0,必留
115,TRICEP_KICKBACK,哑铃臂屈伸后踢,哑铃,手臂,,肱三头肌,triceps,,,通过,通过,通过,通过,哑铃臂屈伸后踢,哑铃,手臂,,肱三头肌,triceps,,,保留当前名称、分类和肌群。,孤立三头伸展/下压归肱三头肌准确。,E15|P0,保留
116,TRICEP_DIP,双杠臂屈伸（三头）,自重,手臂,,肱三头肌,triceps,,,通过,通过,建议调整,建议调整,双杠臂屈伸（三头）,自重,手臂,,肱三头肌,triceps,胸大肌、三角肌前束,chest|deltFront,复合三头推举/臂屈伸补胸大肌和三角肌前束协同。,窄距卧推和臂屈伸主攻三头，但胸和前三角明显参与；应补协同肌。,E15|E4|P0,保留
117,BENCH_DIP,凳上臂屈伸,自重,手臂,,肱三头肌,triceps,,,通过,通过,建议调整,建议调整,凳上臂屈伸,自重,手臂,,肱三头肌,triceps,胸大肌、三角肌前束,chest|deltFront,复合三头推举/臂屈伸补胸大肌和三角肌前束协同。,窄距卧推和臂屈伸主攻三头，但胸和前三角明显参与；应补协同肌。,E15|E4|P0,保留
118,MACHINE_TRICEP_EXT,器械臂屈伸,器械,手臂,,肱三头肌,triceps,,,通过,通过,通过,通过,器械臂屈伸,器械,手臂,,肱三头肌,triceps,,,保留当前名称、分类和肌群。,孤立三头伸展/下压归肱三头肌准确。,E15|P0,保留
119,WRIST_CURL,腕弯举,杠铃,手臂,,前臂,forearms,,,通过,通过,通过,通过,腕弯举,杠铃,手臂,,前臂,forearms,,,保留当前名称、分类和肌群。,腕屈伸归前臂准确。,E16|P0,保留
120,REVERSE_WRIST_CURL,反向腕弯举,杠铃,手臂,,前臂,forearms,,,通过,通过,通过,通过,反向腕弯举,杠铃,手臂,,前臂,forearms,,,保留当前名称、分类和肌群。,腕屈伸归前臂准确。,E16|P0,保留
121,BB_SQUAT,杠铃深蹲,杠铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,杠铃深蹲,杠铃,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,蹲类补臀大肌、内收肌和腘绳肌协同。,蹲类主股四头，但臀大肌、内收肌、腘绳肌协同明显；当前协同缺失。,E17|P0,必留，线上有历史
122,FRONT_SQUAT,颈前深蹲,杠铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,颈前深蹲,杠铃,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,蹲类补臀大肌、内收肌和腘绳肌协同。,蹲类主股四头，但臀大肌、内收肌、腘绳肌协同明显；当前协同缺失。,E17|P0,必留
123,SMITH_SQUAT,史密斯深蹲,史密斯,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,史密斯深蹲,史密斯,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,蹲类补臀大肌、内收肌和腘绳肌协同。,蹲类主股四头，但臀大肌、内收肌、腘绳肌协同明显；当前协同缺失。,E17|P0,必留，线上有历史
124,HACK_SQUAT,哈克深蹲,器械,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,哈克深蹲,器械,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,蹲类补臀大肌、内收肌和腘绳肌协同。,蹲类主股四头，但臀大肌、内收肌、腘绳肌协同明显；当前协同缺失。,E17|P0,保留
125,GOBLET_SQUAT,高脚杯深蹲,哑铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,高脚杯深蹲,哑铃,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,蹲类补臀大肌、内收肌和腘绳肌协同。,蹲类主股四头，但臀大肌、内收肌、腘绳肌协同明显；当前协同缺失。,E17|P0,保留
126,LEG_PRESS,腿举,器械,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,腿举,器械,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,腿举类补臀、内收和腘绳肌协同。,腿举主股四头，臀/腘绳/内收参与；当前协同缺失。,E18|P0,必留
127,MACHINE_LEG_PRESS,器械倒蹬机,器械,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,器械倒蹬机,器械,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,腿举类补臀、内收和腘绳肌协同。,腿举主股四头，臀/腘绳/内收参与；当前协同缺失。,E18|P0,独立保留，线上有历史
128,LEG_EXTENSION,坐姿腿屈伸,器械,腿,,股四头肌,quads,,,通过,通过,通过,通过,坐姿腿屈伸,器械,腿,,股四头肌,quads,,,保留当前名称、分类和肌群。,腿屈伸主股四头，当前分类和肌群准确。,E18|P0,必留，线上自定义有历史；主流腿部动作
129,MACHINE_SINGLE_LEG_EXTENSION,单腿腿屈伸,器械,腿,,股四头肌,quads,,,通过,通过,通过,通过,单腿腿屈伸,器械,腿,,股四头肌,quads,,,保留当前名称、分类和肌群。,腿屈伸主股四头，当前分类和肌群准确。,E18|P0,保留，线上有历史
130,BULGARIAN_SPLIT_SQUAT,保加利亚分腿蹲,哑铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,保加利亚分腿蹲,哑铃,腿,,股四头肌、臀大肌,quads|glutes,内收肌、腘绳肌,adductors|hams,单腿蹲/箭步/登踏类补臀大肌主动肌，内收/腘绳协同。,箭步、登踏、分腿蹲覆盖股四头和臀部；当前只标股四头偏窄。,E19|P0,必留，线上有历史
131,LUNGE,箭步蹲,哑铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,箭步蹲,哑铃,腿,,股四头肌、臀大肌,quads|glutes,内收肌、腘绳肌,adductors|hams,单腿蹲/箭步/登踏类补臀大肌主动肌，内收/腘绳协同。,箭步、登踏、分腿蹲覆盖股四头和臀部；当前只标股四头偏窄。,E19|P0,保留，线上有历史
132,WALKING_LUNGE,行走箭步蹲,哑铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,行走箭步蹲,哑铃,腿,,股四头肌、臀大肌,quads|glutes,内收肌、腘绳肌,adductors|hams,单腿蹲/箭步/登踏类补臀大肌主动肌，内收/腘绳协同。,箭步、登踏、分腿蹲覆盖股四头和臀部；当前只标股四头偏窄。,E19|P0,保留
133,STEP_UP,箱式登踏,哑铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,箱式登踏,哑铃,腿,,股四头肌、臀大肌,quads|glutes,内收肌、腘绳肌,adductors|hams,单腿蹲/箭步/登踏类补臀大肌主动肌，内收/腘绳协同。,箭步、登踏、分腿蹲覆盖股四头和臀部；当前只标股四头偏窄。,E19|P0,保留
134,PISTOL_SQUAT,单腿深蹲,自重,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,单腿深蹲,自重,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,蹲类补臀大肌、内收肌和腘绳肌协同。,蹲类主股四头，但臀大肌、内收肌、腘绳肌协同明显；当前协同缺失。,E17|P0,保留
135,SEATED_LEG_CURL,坐姿腿弯举,器械,腿,,腘绳肌,hams,,,通过,通过,通过,通过,坐姿腿弯举,器械,腿,,腘绳肌,hams,,,保留当前名称、分类和肌群。,腿弯举归腘绳肌准确。,E18|P0,必留，线上有历史
136,LEG_CURL,俯卧腿弯举,器械,腿,,腘绳肌,hams,,,通过,通过,通过,通过,俯卧腿弯举,器械,腿,,腘绳肌,hams,,,保留当前名称、分类和肌群。,腿弯举归腘绳肌准确。,E18|P0,必留
137,STANDING_LEG_CURL,站姿腿弯举,器械,腿,,腘绳肌,hams,,,通过,通过,通过,通过,站姿腿弯举,器械,腿,,腘绳肌,hams,,,保留当前名称、分类和肌群。,腿弯举归腘绳肌准确。,E18|P0,保留
138,ROMANIAN_DL,罗马尼亚硬拉,杠铃,腿,,腘绳肌,hams,臀大肌,glutes,通过,通过,建议调整,建议调整,罗马尼亚硬拉,杠铃,腿,,腘绳肌,hams,臀大肌、竖脊肌/下背,glutes|lowerBack,RDL 保留腘绳肌主导，补竖脊肌协同。,RDL 主腘绳肌并牵涉臀大肌和竖脊肌；当前缺少 lowerBack 协同。,E7|P0,必留，主腿副臀，线上有历史
139,DB_RDL,哑铃罗马尼亚硬拉,哑铃,腿,,腘绳肌,hams,臀大肌,glutes,通过,通过,建议调整,建议调整,哑铃罗马尼亚硬拉,哑铃,腿,,腘绳肌,hams,臀大肌、竖脊肌/下背,glutes|lowerBack,RDL 保留腘绳肌主导，补竖脊肌协同。,RDL 主腘绳肌并牵涉臀大肌和竖脊肌；当前缺少 lowerBack 协同。,E7|P0,保留
140,SUMO_DEADLIFT,相扑硬拉,杠铃,腿,,内收肌、臀大肌,adductors|glutes,,,通过,通过,建议调整,建议调整,相扑硬拉,杠铃,腿,,臀大肌、内收肌,glutes|adductors,腘绳肌、竖脊肌/下背、股四头肌、斜方肌、前臂,hams|lowerBack|quads|traps|forearms,补齐相扑硬拉的后链、下背、股四头和握力协同。,相扑硬拉强调内收肌和臀，同时仍是后链/背部稳定复合动作；建议补齐协同。,E20|E7|P0,保留
141,HIP_ADDUCTION,髋内收,器械,腿,,内收肌,adductors,,,通过,通过,通过,通过,髋内收,器械,腿,,内收肌,adductors,,,保留当前名称、分类和肌群。,髋内收归内收肌准确。,E20|P0,保留，线上有历史
142,SEATED_CALF_RAISE,坐姿提踵,器械,腿,,小腿,calves,,,通过,通过,通过,通过,坐姿提踵,器械,腿,,小腿,calves,,,保留当前名称、分类和肌群。,提踵归小腿准确。,E21|P0,必留
143,STANDING_CALF_RAISE,站姿提踵,器械,腿,,小腿,calves,,,通过,通过,通过,通过,站姿提踵,器械,腿,,小腿,calves,,,保留当前名称、分类和肌群。,提踵归小腿准确。,E21|P0,必留
